
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.63888550e+00, -1.02500000e+01, 6.58051848e-01
5.87500000e+00, 5.62474394e+00, -1.02500000e+01, 5.86558819e-01
5.87500000e+00, 5.61060238e+00, -1.02500000e+01, 5.29255748e-01
5.87500000e+00, 5.59646082e+00, -1.02500000e+01, 4.71953064e-01
5.87500000e+00, 5.58231926e+00, -1.02500000e+01, 4.13399398e-01
5.87500000e+00, 5.56817770e+00, -1.02500000e+01, 3.48500490e-01
5.87500000e+00, 5.55403614e+00, -1.02500000e+01, 2.82546282e-01
5.87500000e+00, 5.53989458e+00, -1.02500000e+01, 2.16591984e-01
5.87500000e+00, 5.52575302e+00, -1.02500000e+01, 1.50637284e-01
5.87500000e+00, 5.51161146e+00, -1.02500000e+01, 8.69133249e-02
5.87500000e+00, 5.49746990e+00, -1.02500000e+01, 2.32976377e-02
5.87500000e+00, 5.48332834e+00, -1.02500000e+01, -4.03173566e-02
5.87500000e+00, 5.46918678e+00, -1.02500000e+01, -9.24481004e-02
5.87500000e+00, 5.45504522e+00, -1.02500000e+01, -1.43537536e-01
5.87500000e+00, 5.44090366e+00, -1.02500000e+01, -1.94626838e-01
5.87500000e+00, 5.42676210e+00, -1.02500000e+01, -2.45715886e-01
5.87500000e+00, 5.41262054e+00, -1.02500000e+01, -2.90145278e-01
5.87500000e+00, 5.39847898e+00, -1.02500000e+01, -3.24719936e-01
5.87500000e+00, 5.38433743e+00, -1.02500000e+01, -3.57187331e-01
5.87500000e+00, 5.37019587e+00, -1.02500000e+01, -3.89654934e-01
5.87500000e+00, 5.35605431e+00, -1.02500000e+01, -4.22122091e-01
5.87500000e+00, 5.34191275e+00, -1.02500000e+01, -4.54589337e-01
5.87500000e+00, 5.32777119e+00, -1.02500000e+01, -4.87056643e-01
5.87500000e+00, 5.31362963e+00, -1.02500000e+01, -5.19553900e-01
5.87500000e+00, 5.29948807e+00, -1.02500000e+01, -5.36107898e-01
5.87500000e+00, 5.28534651e+00, -1.02500000e+01, -5.52369475e-01
5.87500000e+00, 5.27120495e+00, -1.02500000e+01, -5.68631291e-01
5.87500000e+00, 5.25706339e+00, -1.02500000e+01, -5.81345737e-01
5.87500000e+00, 5.24292183e+00, -1.02500000e+01, -5.93584180e-01
5.87500000e+00, 5.22878027e+00, -1.02500000e+01, -6.05822682e-01
5.87500000e+00, 5.21463871e+00, -1.02500000e+01, -6.18061304e-01
5.87500000e+00, 5.20049715e+00, -1.02500000e+01, -6.30300105e-01
5.87500000e+00, 5.18635559e+00, -1.02500000e+01, -6.42538786e-01
5.87500000e+00, 5.17221403e+00, -1.02500000e+01, -6.48303986e-01
5.87500000e+00, 5.15807247e+00, -1.02500000e+01, -6.52864099e-01
5.87500000e+00, 5.14393091e+00, -1.02500000e+01, -6.57293737e-01
5.87500000e+00, 5.12978935e+00, -1.02500000e+01, -6.61723256e-01
5.87500000e+00, 5.11564779e+00, -1.02500000e+01, -6.66152894e-01
5.87500000e+00, 5.10150623e+00, -1.02500000e+01, -6.67604268e-01
5.87500000e+00, 5.08736467e+00, -1.02500000e+01, -6.67582870e-01
5.87500000e+00, 5.07322311e+00, -1.02500000e+01, -6.68507278e-01
5.87500000e+00, 5.05908155e+00, -1.02500000e+01, -6.69431686e-01
5.87500000e+00, 5.04493999e+00, -1.02500000e+01, -6.70356154e-01
5.87500000e+00, 5.03079844e+00, -1.02500000e+01, -6.71280682e-01
5.87500000e+00, 5.01665688e+00, -1.02500000e+01, -6.72205210e-01
5.87500000e+00, 5.00251532e+00, -1.02500000e+01, -6.71835780e-01
5.87500000e+00, 4.98837376e+00, -1.02500000e+01, -6.69911504e-01
5.87500000e+00, 4.97423220e+00, -1.02500000e+01, -6.67987466e-01
5.87500000e+00, 4.96009064e+00, -1.02500000e+01, -6.66063488e-01
5.87500000e+00, 4.94594908e+00, -1.02500000e+01, -6.64040506e-01
5.87500000e+00, 4.93180752e+00, -1.02500000e+01, -6.58950090e-01
5.87500000e+00, 4.91766596e+00, -1.02500000e+01, -6.53859198e-01
5.87500000e+00, 4.90352440e+00, -1.02500000e+01, -6.48768306e-01
5.87500000e+00, 4.88938284e+00, -1.02500000e+01, -6.43677413e-01
5.87500000e+00, 4.87524128e+00, -1.02500000e+01, -6.37906075e-01
5.87500000e+00, 4.86109972e+00, -1.02500000e+01, -6.32291436e-01
5.87500000e+00, 4.84695816e+00, -1.02500000e+01, -6.26505375e-01
5.87500000e+00, 4.83281660e+00, -1.02500000e+01, -6.20719314e-01
5.87500000e+00, 4.81867504e+00, -1.02500000e+01, -6.14933193e-01
5.87500000e+00, 4.80453348e+00, -1.02500000e+01, -6.09146953e-01
5.87500000e+00, 4.79039192e+00, -1.02500000e+01, -6.02766514e-01
5.87500000e+00, 4.77625036e+00, -1.02500000e+01, -5.95993340e-01
5.87500000e+00, 4.76210880e+00, -1.02500000e+01, -5.89183688e-01
5.87500000e+00, 4.74796724e+00, -1.02500000e+01, -5.82593143e-01
5.87500000e+00, 4.73382568e+00, -1.02500000e+01, -5.76781631e-01
5.87500000e+00, 4.71968412e+00, -1.02500000e+01, -5.70970178e-01
5.87500000e+00, 4.70554256e+00, -1.02500000e+01, -5.65158486e-01
5.87500000e+00, 4.69140100e+00, -1.02500000e+01, -5.59346914e-01
5.87500000e+00, 4.67725945e+00, -1.02500000e+01, -5.53535402e-01
5.87500000e+00, 4.66311789e+00, -1.02500000e+01, -5.47723830e-01
5.87500000e+00, 4.64897633e+00, -1.02500000e+01, -5.41912198e-01
5.87500000e+00, 4.63483477e+00, -1.02500000e+01, -5.37178159e-01
5.87500000e+00, 4.62069321e+00, -1.02500000e+01, -5.32358289e-01
5.87500000e+00, 4.60655165e+00, -1.02500000e+01, -5.21111786e-01
5.87500000e+00, 4.59241009e+00, -1.02500000e+01, -5.12883544e-01
5.87500000e+00, 4.57826853e+00, -1.02500000e+01, -5.02024293e-01
5.87500000e+00, 4.56412697e+00, -1.02500000e+01, -4.82018888e-01
5.87500000e+00, 4.54998541e+00, -1.02500000e+01, 0.00000000e+00

X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.94999981e+00, -1.02500000e+01, 0.00000000e+00
5.87500000e+00, 5.93585825e+00, -1.02500000e+01, 2.34591174e+00
5.87500000e+00, 5.92171669e+00, -1.02500000e+01, 2.34962988e+00
5.87500000e+00, 5.90757513e+00, -1.02500000e+01, 2.32308054e+00
5.87500000e+00, 5.89343357e+00, -1.02500000e+01, 2.28400779e+00
5.87500000e+00, 5.87929201e+00, -1.02500000e+01, 2.20057344e+00
5.87500000e+00, 5.86515045e+00, -1.02500000e+01, 2.14573836e+00
5.87500000e+00, 5.85100889e+00, -1.02500000e+01, 2.09338140e+00
5.87500000e+00, 5.83686733e+00, -1.02500000e+01, 2.04102349e+00
5.87500000e+00, 5.82272577e+00, -1.02500000e+01, 1.98866606e+00
5.87500000e+00, 5.80858421e+00, -1.02500000e+01, 1.93635941e+00
5.87500000e+00, 5.79444265e+00, -1.02500000e+01, 1.87946975e+00
5.87500000e+00, 5.78030109e+00, -1.02500000e+01, 1.80896080e+00
5.87500000e+00, 5.76615953e+00, -1.02500000e+01, 1.73485148e+00
5.87500000e+00, 5.75201797e+00, -1.02500000e+01, 1.66496909e+00
5.87500000e+00, 5.73787642e+00, -1.02500000e+01, 1.59529662e+00
5.87500000e+00, 5.72373486e+00, -1.02500000e+01, 1.52562439e+00
